Tr,1,2,4,8,16,24
2.0,12.4,8.9,5.6,3.9,2.8,2.2
10.0,17.6,12.5,6.9,5.0,3.6,3.0
30.0,20.8,14.7,7.7,5.7,4.1,3.4
