Year,A,B,C,D,E
1970,1010,1161,780,949,1135
1971,1005,978,1041,784,970
1972,1067,1226,1027,1067,1158
1973,1051,880,825,1014,1022
1974,801,1146,933,923,821
1975,1411,1353,1584,930,1483
1976,1222,1018,1215,981,1174
1977,1012,751,832,683,771
1978,1153,1059,918,824,1188
1979,1140,1223,883,1056,967
1980,829,1003,884,796,1088
1981,1165,1120,978,1121,963
1982,1170,989,1081,1286,1287
1983,1264,1056,1246,1044,1190
1984,1200,1261,1197,991,1283
1985,942,811,803,875,873
1986,1166,969,1310,1202,1209
